time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-16 00:00:00+00:00,102,15,80,12
2026-04-17 00:00:00+00:00,26,12,35,6
2026-04-18 00:00:00+00:00,31,8,34,8
2026-04-19 00:00:00+00:00,61,31,13,7
2026-04-20 00:00:00+00:00,265,15,68,19
2026-04-21 00:00:00+00:00,72,24,59,11
2026-04-22 00:00:00+00:00,250,20,38,8
2026-04-23 00:00:00+00:00,136,34,91,14
2026-04-24 00:00:00+00:00,61,18,351,12
2026-04-25 00:00:00+00:00,140,64,35,13
2026-04-26 00:00:00+00:00,19,8,7,5
2026-04-27 00:00:00+00:00,96,13,120,7
2026-04-28 00:00:00+00:00,373,79,153,13
2026-04-29 00:00:00+00:00,266,92,53,22
