time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-23 00:00:00+00:00,1,1,8,7
2025-12-24 00:00:00+00:00,0,0,10,8
2025-12-25 00:00:00+00:00,4,4,7,3
2025-12-26 00:00:00+00:00,1,1,20,7
2025-12-27 00:00:00+00:00,0,0,13,8
2025-12-28 00:00:00+00:00,76,16,22,7
2025-12-29 00:00:00+00:00,1,1,11,8
2025-12-30 00:00:00+00:00,14,7,11,9
2025-12-31 00:00:00+00:00,19,7,3,3
2026-01-01 00:00:00+00:00,17,10,10,6
2026-01-02 00:00:00+00:00,3,3,25,9
2026-01-03 00:00:00+00:00,3,3,16,10
2026-01-04 00:00:00+00:00,5,4,43,6
2026-01-05 00:00:00+00:00,3,2,128,12
