time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-21 00:00:00+00:00,96.0,6.0,69,8
2023-11-22 00:00:00+00:00,11.0,4.0,51,8
2023-11-23 00:00:00+00:00,5.0,3.0,57,5
2023-11-24 00:00:00+00:00,16.0,5.0,73,7
2023-11-25 00:00:00+00:00,1.0,1.0,81,3
2023-11-26 00:00:00+00:00,1.0,1.0,34,4
2023-11-27 00:00:00+00:00,2.0,2.0,103,8
2023-11-28 00:00:00+00:00,,,49,6
2023-11-29 00:00:00+00:00,9.0,2.0,27,6
2023-11-30 00:00:00+00:00,1.0,1.0,46,5
2023-12-01 00:00:00+00:00,2.0,2.0,80,3
2023-12-02 00:00:00+00:00,,,6,1
2023-12-03 00:00:00+00:00,1.0,1.0,5,4
2023-12-04 00:00:00+00:00,,,44,5
