time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-24 00:00:00+00:00,45,12,266,18
2026-02-25 00:00:00+00:00,17,12,77,11
2026-02-26 00:00:00+00:00,257,151,238,14
2026-02-27 00:00:00+00:00,56,18,378,26
2026-02-28 00:00:00+00:00,9,8,40,5
2026-03-01 00:00:00+00:00,9,6,86,18
2026-03-02 00:00:00+00:00,7,6,123,19
2026-03-03 00:00:00+00:00,185,12,153,18
2026-03-04 00:00:00+00:00,144,10,142,17
2026-03-05 00:00:00+00:00,52,15,115,14
2026-03-06 00:00:00+00:00,41,12,111,22
2026-03-07 00:00:00+00:00,35,16,150,14
2026-03-08 00:00:00+00:00,24,20,209,20
2026-03-09 00:00:00+00:00,121,62,108,20
