time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-29 00:00:00+00:00,27.0,3.0,60,7
2022-09-30 00:00:00+00:00,15.0,3.0,32,4
2022-10-01 00:00:00+00:00,10.0,3.0,29,4
2022-10-02 00:00:00+00:00,,,15,6
2022-10-03 00:00:00+00:00,,,26,5
2022-10-04 00:00:00+00:00,2.0,1.0,14,3
2022-10-05 00:00:00+00:00,1.0,1.0,10,5
2022-10-06 00:00:00+00:00,,,7,4
2022-10-07 00:00:00+00:00,,,3,3
2022-10-08 00:00:00+00:00,3.0,2.0,1,1
2022-10-09 00:00:00+00:00,,,4,1
2022-10-10 00:00:00+00:00,,,2,2
2022-10-11 00:00:00+00:00,,,3,2
2022-10-12 00:00:00+00:00,,,6,4
