time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-25 00:00:00+00:00,24,15,19,6
2025-10-26 00:00:00+00:00,10,9,34,17
2025-10-27 00:00:00+00:00,120,13,125,20
2025-10-28 00:00:00+00:00,27,22,24,11
2025-10-29 00:00:00+00:00,37,18,70,18
2025-10-30 00:00:00+00:00,63,28,83,18
2025-10-31 00:00:00+00:00,46,41,38,14
2025-11-01 00:00:00+00:00,51,40,13,11
2025-11-02 00:00:00+00:00,3,3,22,14
2025-11-03 00:00:00+00:00,37,13,56,18
2025-11-04 00:00:00+00:00,60,25,74,8
2025-11-05 00:00:00+00:00,45,22,56,14
2025-11-06 00:00:00+00:00,122,56,99,9
2025-11-07 00:00:00+00:00,92,40,60,9
